Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,TCR+ Cells - Density/mm²,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,32659284,444181,10270,304,2610,10241,275,1960,600,44,6,26,0,2,2,0,0,0,0,,,,,,,,,,,,,2.31212,0.068441,0.587598,2.305592,0.061912,0.441262,0.13508,0.009906,0.001351,0.005853,0,0.00045,0.00045,0,0,0,0,,,,,,,,,,,,,0.102040816,,,9.308226108,313.570867,8.420270328,60.01356307,18.3714989,1.347243252,0,0.06123833,0,0,0,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,22806942,279942,68330,25354,155377,59698,16722,85235,46412,15375,892,340,46,164,210,14,1,0,1,,,,,,,,,,,,,24.408627,9.056876,55.503284,21.325132,5.97338,30.447378,16.579149,5.492209,0.318637,0.121454,0.016432,0.058584,0.075016,0.005001,0.000357,0,0.000357,,,,,,,,,,,,,0.246377662,,,1111.679067,2617.536362,733.1978132,3737.239302,2034.994433,674.1368483,0.613848187,9.207722807,0.043846299,0,0.043846299,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,58690732,672458,224634,74985,256186,179150,29501,72117,119629,23356,650,272,47,97,144,17,6,2,4,,,,,,,,,,,,,33.404911,11.150883,38.096951,26.641069,4.38704,10.724387,17.78981,3.473228,0.09666,0.040449,0.006989,0.014425,0.021414,0.002528,0.000892,0.000297,0.000595,,,,,,,,,,,,,0.199675527,,,1277.62932,3052.441057,502.6517645,1228.763001,2038.294564,397.9503953,0.28965391,2.453539002,0.102230792,0.034076931,0.068153861,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,20444250,254598,86880,16315,167840,79423,8858,82651,69468,8376,704,353,24,175,199,2,4,0,1,,,,,,,,,,,,,34.124386,6.408142,65.923531,31.195454,3.47921,32.463333,27.285368,3.289892,0.276514,0.13865,0.009427,0.068736,0.078163,0.000786,0.001571,0,0.000393,,,,,,,,,,,,,0.240771437,,,798.0238942,3884.857601,433.27586,4042.750407,3397.923622,409.6995488,0.097827017,9.733788229,0.195654035,0,0.048913509,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,9976180,154136,88195,89356,117291,21572,22733,17564,15395,19979,192,36,1,12,13,0,1,2,1,,,,,,,,,,,,,57.218948,57.972179,76.095787,13.995433,14.748664,11.395131,9.987933,12.961929,0.124565,0.023356,0.000649,0.007785,0.008434,0,0.000649,0.001298,0.000649,,,,,,,,,,,,,0.074015031,,,8956.93542,2162.350719,2278.72793,1760.593734,1543.175845,2002.670361,0,1.303103994,0.100238769,0.200477537,0.100238769,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,9114626,128689,85085,19079,52692,71419,5413,10077,28578,4455,520,96,27,22,49,9,2,1,4,,,,,,,,,,,,,66.11676,14.825665,40.945225,55.49736,4.206264,7.830506,22.207026,3.461834,0.404075,0.074598,0.020981,0.017095,0.038076,0.006994,0.001554,0.000777,0.003108,,,,,,,,,,,,,0.48625583,,,2093.229058,7835.647892,593.8806485,1105.585682,3135.40018,488.7748548,0.987423949,5.375974834,0.219427544,0.109713772,0.438855089,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,25359362,263662,179110,97744,200278,97063,15697,20425,84586,14863,603,455,19,143,162,4,9,5,2,,,,,,,,,,,,,67.931671,37.071705,75.960129,36.813419,5.953455,7.746661,32.081226,5.637142,0.228702,0.172569,0.007206,0.054236,0.061442,0.001517,0.003413,0.001896,0.000759,,,,,,,,,,,,,0.793145655,,,3854.355642,3827.501654,618.9824492,805.4224708,3335.494008,586.0951865,0.157732675,6.38817333,0.354898518,0.197165844,0.078866337,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Cortex,9260545,127750,20088,44088,81381,10533,34533,35731,3727,33342,2882,401,120,85,205,6,53,3,3,,,,,,,,,,,,,15.724462,34.511154,63.703327,8.245009,27.031702,27.969471,2.917417,26.099413,2.255969,0.313894,0.093933,0.066536,0.160469,0.004697,0.041487,0.002348,0.002348,,,,,,,,,,,,,0.573731494,,,4760.842909,1137.40606,3729.046185,3858.412221,402.4601144,3600.436043,0.647910031,22.13692607,5.723205276,0.323955016,0.323955016,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,32943502,484034,26524,1782,29621,26218,1476,21453,7224,730,,,,,,,,,,22589,369,29,20,1,11,,,,,,,5.47978,0.368156,6.119611,5.416562,0.304937,4.432127,1.492457,0.150816,,,,,,,,,,4.666821,0.076234,0.005991,0.004132,0.000207,0.002273,,,,,,,,0.135179229,,54.09260983,795.8473874,44.80397986,651.2058129,219.2845193,22.15914993,,,,,,0.880294997,0.607099998,0.030355,0.333904999,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,22953596,282159,46945,15119,49973,42584,10758,23725,15429,7295,,,,,,,,,,54986,8986,931,1331,814,929,,,,,,,16.637783,5.358326,17.710936,15.092199,3.812744,8.40838,5.468194,2.585422,,,,,,,,,,19.487595,3.184729,0.329956,0.47172,0.28849,0.329247,,,,,,,,3.924130664,,658.6767494,1855.221291,468.6847324,1033.607109,672.1822585,317.8151258,,,,,,40.5600935,57.98655688,35.46285297,40.47296119,,,,
178698_NVA_17-001.ILC2.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,58121636,684294,204642,56561,274707,174275,26194,93975,129104,22526,,,,,,,,,,341977,31915,4038,7184,8616,8632,,,,,,,29.905567,8.265599,40.144588,25.467854,3.827887,13.733132,18.866745,3.29186,,,,,,,,,,49.975159,4.663931,0.590097,1.049841,1.259108,1.261446,,,,,,,,4.29688747,,973.1487944,2998.453106,450.6755453,1616.86777,2221.272643,387.5665165,,,,,,69.47498863,123.6028525,148.2408375,148.5161223,,,,
178699_NVA_17-001.ILC2.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,21271478,261064,153722,28645,149594,132703,7626,28405,94265,6858,,,,,,,,,,89953,13306,1434,1578,3304,2946,,,,,,,58.882881,10.972405,57.301659,50.831596,2.921123,10.880474,36.108006,2.626942,,,,,,,,,,34.456303,5.096835,0.549291,0.60445,1.26559,1.128459,,,,,,,,5.048406971,,1346.638912,6238.541581,358.5082334,1335.356199,4431.520931,322.403549,,,,,,67.41421541,74.18384374,155.325361,138.4953128,,,,
178700_NVA_17-001.ILC2.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,10314159,161143,59236,79138,107553,13204,33106,23877,10927,27977,,,,,,,,,,28080,18797,87,1079,7681,376,,,,,,,36.759895,49.110416,66.74382,8.193964,20.544485,14.817274,6.780934,17.361599,,,,,,,,,,17.425516,11.664795,0.053989,0.669592,4.766574,0.233333,,,,,,,,0.364367383,,7672.753542,1280.181932,3209.762425,2314.973039,1059.417447,2712.484847,,,,,,8.435006674,104.6134736,744.7044398,36.45474149,,,,
178701_NVA_17-001.ILC2.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,9000396,128160,81461,14822,50562,71818,5179,9513,29189,4390,,,,,,,,,,53275,2924,146,522,556,300,,,,,,,63.561954,11.565231,39.452248,56.037766,4.041042,7.422753,22.775436,3.425406,,,,,,,,,,41.569134,2.281523,0.11392,0.407303,0.433833,0.234082,,,,,,,,1.534741932,,1646.816429,7979.426683,575.419126,1056.953494,3243.079527,487.7563165,,,,,,16.22150848,57.99744811,61.77505968,33.33186673,,,,
178702_NVA_17-001.ILC2.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,26314584,270404,192769,80294,123731,120976,8501,5636,59472,5955,,,,,,,,,,185845,13602,274,1371,8174,2879,,,,,,,71.289253,29.694088,45.757828,44.738983,3.143814,2.084289,21.993757,2.20226,,,,,,,,,,68.728645,5.030251,0.10133,0.507019,3.022884,1.064703,,,,,,,,4.861603974,,3051.311774,4597.298593,323.0527984,214.1778111,2260.039528,226.3003664,,,,,,10.41247697,52.10038661,310.6262292,109.4070117,,,,
